epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.735,1.22661,3.9001,1.4941,0.01182,0.96203,0.09236,0.06573,0.93777,2.90609,1.18404,5.001e-05,5.001e-05,5.001e-05
2,11.3126,1.0869,3.40868,1.35871,0.012,0.98734,0.35935,0.30309,0.9447,2.7434,1.10939,0.00011438,0.00011438,0.00011438
3,13.7121,0.97613,2.89418,1.19093,0.01984,0.94937,0.552,0.42728,0.96222,2.50029,1.08178,0.000176109,0.000176109,0.000176109
4,16.1763,0.9596,2.18332,1.15812,0.94057,0.332,0.6719,0.47268,0.97672,2.32886,1.05342,0.000235197,0.000235197,0.000235197
5,18.6202,0.88525,1.96006,1.11074,0.77696,0.28493,0.77934,0.56772,0.94279,2.24781,1.00053,0.000291645,0.000291645,0.000291645
6,21.0613,0.91094,2.06498,1.09313,0.93947,0.67455,0.87374,0.58849,1.05929,2.1169,1.01214,0.000345452,0.000345452,0.000345452
7,23.4897,0.84762,1.91099,1.0389,0.92522,0.84693,0.91559,0.67629,0.94321,1.85888,0.96311,0.000396619,0.000396619,0.000396619
8,25.9521,0.8747,1.82487,1.05834,0.92526,0.93901,0.96256,0.68167,0.98482,1.77715,1.00749,0.000445146,0.000445146,0.000445146
9,28.3376,0.87909,1.54438,1.08768,0.88324,0.87752,0.94437,0.65039,1.06321,1.74473,1.06931,0.000491032,0.000491032,0.000491032
10,30.6351,0.89735,1.72911,1.10273,0.84366,0.85181,0.94066,0.62217,1.11971,1.7565,1.09218,0.000534277,0.000534277,0.000534277
11,33.0825,0.86708,1.67309,1.07222,0.84118,0.83204,0.94528,0.62005,1.09029,1.72281,1.05947,0.000574882,0.000574882,0.000574882
12,35.3908,0.94302,1.68667,1.11359,0.90735,0.84282,0.93707,0.67058,0.98283,1.68001,0.99587,0.000612846,0.000612846,0.000612846
13,37.8099,0.94315,1.76579,1.15261,0.89436,0.84113,0.92595,0.56654,1.23132,1.72597,1.14838,0.00064817,0.00064817,0.00064817
14,40.5065,0.96134,1.4604,1.09703,0.8901,0.85712,0.93594,0.5894,1.19883,1.63243,1.12372,0.000680853,0.000680853,0.000680853
15,45.7927,0.82731,1.55808,1.04864,0.92244,0.84366,0.95712,0.69773,0.92805,1.46544,1.00067,0.000710895,0.000710895,0.000710895
16,50.926,0.81181,1.43714,1.03311,0.92268,0.89536,0.96561,0.67795,1.05001,1.47477,1.07178,0.000738298,0.000738298,0.000738298
17,53.4981,0.82766,1.40771,1.03344,0.93812,0.95385,0.97044,0.68121,1.05766,1.43251,1.08484,0.000763059,0.000763059,0.000763059
18,56.1954,0.78209,1.33889,1.01083,0.95623,0.97744,0.98004,0.68851,1.03517,1.22188,1.06928,0.00078518,0.00078518,0.00078518
